value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
12,3,0.005595911012408579,pos_neg_null,mov,1,1,8
12,4,0.007430872189816226,pos_neg_null,mov,1,1,8
12,2,0.003635324200015353,pos_neg_null,mov,1,1,8
12,12,0.008325357607390815,pos_neg_null,mov,1,1,8
12,8,0.008321979683231062,pos_neg_null,mov,1,1,8
12,11,0.008325328037103584,pos_neg_null,mov,1,1,8
12,5,0.008099045486944855,pos_neg_null,mov,1,1,8
14,8,0.008297063576395038,pos_neg_null,mov,1,1,8
14,6,0.008242585899183183,pos_neg_null,mov,1,1,8
14,10,0.008300241064630781,pos_neg_null,mov,1,1,8
14,7,0.008287220075292838,pos_neg_null,mov,1,1,8
14,3,0.005579156787820522,pos_neg_null,mov,1,1,8
14,14,0.00830045045297136,pos_neg_null,mov,1,1,8
14,4,0.007408624069487426,pos_neg_null,mov,1,1,8
14,12,0.008300441206729826,pos_neg_null,mov,1,1,8
14,9,0.00829961085136181,pos_neg_null,mov,1,1,8
14,11,0.008300401905255958,pos_neg_null,mov,1,1,8
14,1,0.002232334970190449,pos_neg_null,mov,1,1,8
14,13,0.008300449378944561,pos_neg_null,mov,1,1,8
14,2,0.003624439995823686,pos_neg_null,mov,1,1,8
14,5,0.008074796847762368,pos_neg_null,mov,1,1,8
3,1,0.008139105398901274,pos_neg_null,mov,1,1,7
3,3,0.000049453685707981934,pos_neg_null,mov,1,1,7
3,2,0.01252579109491466,pos_neg_null,mov,1,1,7
4,3,0.016465230387233604,pos_neg_null,mov,1,1,7
4,2,0.010935047230043236,pos_neg_null,mov,1,1,7
4,1,0.00710545954925107,pos_neg_null,mov,1,1,7
4,4,0.0011432368027048747,pos_neg_null,mov,1,1,7
2,2,4.7110656782761623e-7,pos_neg_null,mov,1,1,7
2,1,0.006557832609039024,pos_neg_null,mov,1,1,7
5,5,0.007742361470146011,pos_neg_null,mov,1,1,7
5,4,0.017764911443847706,pos_neg_null,mov,1,1,7
5,3,0.013038939670815047,pos_neg_null,mov,1,1,7
5,2,0.008659546072346376,pos_neg_null,mov,1,1,7
5,1,0.005626866810678587,pos_neg_null,mov,1,1,7
1,1,9.161347963349362e-10,pos_neg_null,mov,1,1,7
6,6,0.015669023510236687,pos_neg_null,mov,1,1,7
6,5,0.01787362167129195,pos_neg_null,mov,1,1,7
6,4,0.015927907219118916,pos_neg_null,mov,1,1,7
6,3,0.011690630824076256,pos_neg_null,mov,1,1,7
6,2,0.007764094227882349,pos_neg_null,mov,1,1,7
6,1,0.005045013186703308,pos_neg_null,mov,1,1,7
7,7,0.014045492881143026,pos_neg_null,mov,1,1,7
7,6,0.01424659582127622,pos_neg_null,mov,1,1,7
7,5,0.01377505713608391,pos_neg_null,mov,1,1,7
7,4,0.012275510584069978,pos_neg_null,mov,1,1,7
7,3,0.009009875587619162,pos_neg_null,mov,1,1,7
7,2,0.005983725266536202,pos_neg_null,mov,1,1,7
7,1,0.0038881512755054044,pos_neg_null,mov,1,1,7
8,8,0.012375873045844291,pos_neg_null,mov,1,1,7
8,7,0.012396304703016144,pos_neg_null,mov,1,1,7
8,6,0.012265115064443789,pos_neg_null,mov,1,1,7
8,5,0.011859160104832803,pos_neg_null,mov,1,1,7
8,4,0.01056817724579264,pos_neg_null,mov,1,1,7
8,3,0.007756741483003138,pos_neg_null,mov,1,1,7
8,2,0.005151481787563728,pos_neg_null,mov,1,1,7
8,1,0.003347369672046026,pos_neg_null,mov,1,1,7
15,1,0.0031077828857032663,pos_neg_null,mov,1,1,7
15,6,0.011387243843062342,pos_neg_null,mov,1,1,7
15,2,0.0047827663221961855,pos_neg_null,mov,1,1,7
15,15,0.01155561259973426,pos_neg_null,mov,1,1,7
15,14,0.011555611565689766,pos_neg_null,mov,1,1,7
15,13,0.011555599314196287,pos_neg_null,mov,1,1,7
15,12,0.011555530927228408,pos_neg_null,mov,1,1,7
15,11,0.01155526665297954,pos_neg_null,mov,1,1,7
15,10,0.011554371416425704,pos_neg_null,mov,1,1,7
15,9,0.011551430888827,pos_neg_null,mov,1,1,7
15,8,0.011541452271617066,pos_neg_null,mov,1,1,7
15,7,0.011509043630203128,pos_neg_null,mov,1,1,7
15,5,0.011010344964405108,pos_neg_null,mov,1,1,7
15,4,0.009811763741492561,pos_neg_null,mov,1,1,7
15,3,0.00720155548728716,pos_neg_null,mov,1,1,7
9,8,0.010397475724870863,pos_neg_null,mov,1,1,7
9,4,0.008839232093106712,pos_neg_null,mov,1,1,7
9,9,0.01039744206916786,pos_neg_null,mov,1,1,7
9,7,0.010368279393729233,pos_neg_null,mov,1,1,7
9,6,0.010258552272714735,pos_neg_null,mov,1,1,7
9,5,0.009919011212426611,pos_neg_null,mov,1,1,7
9,3,0.00648774492136661,pos_neg_null,mov,1,1,7
9,2,0.004308703581009327,pos_neg_null,mov,1,1,7
9,1,0.002799742731833995,pos_neg_null,mov,1,1,7
10,10,0.009160393405303347,pos_neg_null,mov,1,1,7
10,6,0.009029532562780678,pos_neg_null,mov,1,1,7
10,9,0.009159724933871596,pos_neg_null,mov,1,1,7
10,5,0.008730670015827805,pos_neg_null,mov,1,1,7
10,4,0.007780253187086583,pos_neg_null,mov,1,1,7
10,3,0.0057104845273642565,pos_neg_null,mov,1,1,7
10,1,0.0024643212309541224,pos_neg_null,mov,1,1,7
10,2,0.0037925019294947648,pos_neg_null,mov,1,1,7
10,8,0.009151812373969438,pos_neg_null,mov,1,1,7
10,7,0.009126113891791,pos_neg_null,mov,1,1,7
13,12,0.008704827262361468,pos_neg_null,mov,1,1,7
13,8,0.008694221755270985,pos_neg_null,mov,1,1,7
13,9,0.008701738687178027,pos_neg_null,mov,1,1,7
13,10,0.008703953798276601,pos_neg_null,mov,1,1,7
13,4,0.007391240527732264,pos_neg_null,mov,1,1,7
13,6,0.008578055934641655,pos_neg_null,mov,1,1,7
13,13,0.008704871869961987,pos_neg_null,mov,1,1,7
13,11,0.00870462818352201,pos_neg_null,mov,1,1,7
13,7,0.008669808197201461,pos_neg_null,mov,1,1,7
13,5,0.008294136515036426,pos_neg_null,mov,1,1,7
13,1,0.0023411051694064195,pos_neg_null,mov,1,1,7
13,3,0.0054249603009960505,pos_neg_null,mov,1,1,7
13,2,0.003602876833020028,pos_neg_null,mov,1,1,7
11,6,0.008402481690365357,pos_neg_null,mov,1,1,7
11,3,0.005313923101852853,pos_neg_null,mov,1,1,7
