value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
12,4,0.004595844817174404,pos_neg_null,cig,1,1,9
12,12,0.005176977046132638,pos_neg_null,cig,1,1,9
12,7,0.005172548673120606,pos_neg_null,cig,1,1,9
12,1,0.0013923035953731402,pos_neg_null,cig,1,1,9
12,9,0.005176902562852746,pos_neg_null,cig,1,1,9
13,13,0.0037678591039890436,pos_neg_null,cig,1,1,9
13,5,0.0036618651551594493,pos_neg_null,cig,1,1,9
13,2,0.0016841528521681004,pos_neg_null,cig,1,1,9
13,11,0.003767858632433365,pos_neg_null,cig,1,1,9
13,3,0.0026032006976539493,pos_neg_null,cig,1,1,9
13,1,0.001013333385981636,pos_neg_null,cig,1,1,9
13,12,0.003767859072321706,pos_neg_null,cig,1,1,9
13,9,0.003767804823851405,pos_neg_null,cig,1,1,9
13,7,0.0037646360165315704,pos_neg_null,cig,1,1,9
13,8,0.003767394887834858,pos_neg_null,cig,1,1,9
13,6,0.0037484970523692105,pos_neg_null,cig,1,1,9
13,10,0.003767853497259511,pos_neg_null,cig,1,1,9
13,4,0.0033449048077659935,pos_neg_null,cig,1,1,9
14,1,0.0009556640062916235,pos_neg_null,cig,1,1,9
14,10,0.003553422810423608,pos_neg_null,cig,1,1,9
14,2,0.0015883067548902357,pos_neg_null,cig,1,1,9
14,5,0.003453466325191026,pos_neg_null,cig,1,1,9
14,13,0.003553428102692146,pos_neg_null,cig,1,1,9
14,11,0.0035534276533517924,pos_neg_null,cig,1,1,9
14,12,0.0035534280682058346,pos_neg_null,cig,1,1,9
14,3,0.0024550510644541297,pos_neg_null,cig,1,1,9
14,9,0.0035533769070468573,pos_neg_null,cig,1,1,9
14,6,0.003535167951827871,pos_neg_null,cig,1,1,9
14,14,0.003553428106873725,pos_neg_null,cig,1,1,9
14,4,0.0031545443715516697,pos_neg_null,cig,1,1,9
14,8,0.0035529903007223093,pos_neg_null,cig,1,1,9
14,7,0.0035503884383549745,pos_neg_null,cig,1,1,9
4,1,0.006813944052974194,pos_neg_null,cig,1,1,8
4,4,0.00023317718693492213,pos_neg_null,cig,1,1,8
4,3,0.016380668966807933,pos_neg_null,cig,1,1,8
4,2,0.010779872112262341,pos_neg_null,cig,1,1,8
3,3,0.000006088360190384799,pos_neg_null,cig,1,1,8
3,2,0.010753287964020012,pos_neg_null,cig,1,1,8
3,1,0.006797140245198668,pos_neg_null,cig,1,1,8
5,5,0.0045472646615992455,pos_neg_null,cig,1,1,8
5,4,0.021060362528239625,pos_neg_null,cig,1,1,8
5,3,0.016037301059982096,pos_neg_null,cig,1,1,8
5,2,0.010553906852202553,pos_neg_null,cig,1,1,8
5,1,0.006671111686882252,pos_neg_null,cig,1,1,8
2,2,5.512189981539651e-8,pos_neg_null,cig,1,1,8
2,1,0.0062090069730554075,pos_neg_null,cig,1,1,8
6,6,0.016833052579286963,pos_neg_null,cig,1,1,8
6,5,0.020301467961253164,pos_neg_null,cig,1,1,8
6,4,0.018063106903943575,pos_neg_null,cig,1,1,8
6,3,0.013754914385198751,pos_neg_null,cig,1,1,8
6,2,0.009051902476511267,pos_neg_null,cig,1,1,8
6,1,0.005721696547565262,pos_neg_null,cig,1,1,8
1,1,4.7750608915612675e-11,pos_neg_null,cig,1,1,8
7,7,0.0182688107430019,pos_neg_null,cig,1,1,8
7,6,0.01845938699329259,pos_neg_null,cig,1,1,8
7,5,0.017797322133433366,pos_neg_null,cig,1,1,8
7,4,0.015835058475263307,pos_neg_null,cig,1,1,8
7,3,0.012058272963235906,pos_neg_null,cig,1,1,8
7,2,0.007935368250333657,pos_neg_null,cig,1,1,8
7,1,0.005015936620993329,pos_neg_null,cig,1,1,8
8,8,0.016432686686698665,pos_neg_null,cig,1,1,8
8,7,0.016429365588583485,pos_neg_null,cig,1,1,8
8,6,0.016294969757898188,pos_neg_null,cig,1,1,8
8,5,0.0157105339435836,pos_neg_null,cig,1,1,8
8,4,0.013978351451363122,pos_neg_null,cig,1,1,8
8,3,0.010644405111600242,pos_neg_null,cig,1,1,8
8,2,0.00700492306185236,pos_neg_null,cig,1,1,8
8,1,0.00442780334885007,pos_neg_null,cig,1,1,8
15,1,0.004007708154462008,pos_neg_null,cig,1,1,8
15,6,0.01474895744690212,pos_neg_null,cig,1,1,8
15,2,0.006340319355794245,pos_neg_null,cig,1,1,8
15,15,0.014901788390393024,pos_neg_null,cig,1,1,8
15,14,0.01490178834564926,pos_neg_null,cig,1,1,8
15,13,0.014901788138649797,pos_neg_null,cig,1,1,8
15,12,0.014901786956117614,pos_neg_null,cig,1,1,8
15,11,0.01490177595917981,pos_neg_null,cig,1,1,8
15,10,0.014901678157047973,pos_neg_null,cig,1,1,8
15,9,0.014900960385036117,pos_neg_null,cig,1,1,8
15,8,0.014896211563719406,pos_neg_null,cig,1,1,8
15,7,0.014870602250008167,pos_neg_null,cig,1,1,8
15,5,0.014219970950833697,pos_neg_null,cig,1,1,8
15,4,0.012652132148577215,pos_neg_null,cig,1,1,8
15,3,0.009634499503289,pos_neg_null,cig,1,1,8
